Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
1114958.9,Bacillus amyloliquefaciens subsp. plantarum CAU B946,,1114958,Complete,CAU B946,,,,,,,,2015-02-27T00:00:00Z,22408246,PRJEA76795,SAMEA2272738,GCF_000283695.1,,HE617159,NC_016784.1,"Center for Biotechnology, Bielefeld University",,,,,1,,1,4019861,46.51,4126,3823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,99.1,98.4,100,0.2,,Good,2016-01-17T15:29:04.961Z,2016-01-17T15:29:04.961Z
1116391.3,Paenibacillus mucilaginosus 3016,Paenibacillus mucilaginosus 3016,1116391,Complete,3016,,,,,, ,,2012-02-27T00:00:00Z,22535950,PRJNA77661,SAMN02603387,GCA_000250655.1,,CP003235.1,NC_016935.1,"Institute of Agricultural Resources and Regional Planning,",complete,,,,1,,1,8739048,58.3,7845,7057,,rhizosphere soil and widely used,isolated from rhizosphere soil and widely used in microbial fertilizer for most manufacturers in China,,China,China,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Paenibacillus mucilaginosus (formerly Bacillus mucilaginosus), the type species of Paenibacillus, is consequently widely used as microbial fertilizer in agricultural applications due to its growth-promoting properties. P. mucilaginosus 3016 was isolated from rhizosphere soil and widely used in microbial fertilizer for most manufacturers in China.",,94.1,89.7,98.8,2.7,,Good,2014-12-08T22:12:29.578Z,2015-03-16T03:17:09.594Z
1118064.5,Bacillus phage BceA1,,1118064,Complete,,,,,,,,,2012-07-23T00:00:00Z,22815791,,,GCA_003047795.1,,HE614282,,,,,,,1,,1,42932,35.663376,78,63,,soil,,,Antarctica,"Antarctica:Garwood Valley, Southern Victoria Land",,,,,,Bacillus cereus/thuringiensis group,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio,Poor,2019-08-12T15:56:07.027Z,2019-08-12T15:56:07.027Z
1121088.10,Bacillus coagulans DSM 1 = ATCC 7050,,1121088,Complete,ATCC 7050,,,,,,ATCC 7050,,2015-05-28T00:00:00Z,25931591,PRJNA238056,SAMN03120846,GCF_000832905.1,"SRR2157048,SRR2157049,SRR2157050",CP009709,NZ_CP009709.1,Los Alamos National Laboratory,,Illumina; PacBio; 454,776x,Newbler v. 2.6; Velvet v. 1.2.08; Allpaths,1,,1,3366995,46.9,3888,3253,,Dairy (evaporated milk),,1914,United States,USA: Iowa,,,,,,,,,,,,,,,Positive,Bacilli,,,,,,,,,Genome sequencing of Bacillus coagulans ATCC 7050,,96.6,96.2,97,0.4,,Good,2016-01-17T15:43:22.302Z,2016-01-17T15:43:22.302Z
1124578.8,Bacillus phage phIS3501,,1124578,Complete,,,,,,,,,2012-05-15T00:00:00Z,22567391,,,GCA_000902395.1,,JQ062992,,,,,,,1,,1,44401,34.86408,93,51,,,,,,,,,,,,Bacillus thuringiensis var. israelensis ATCC 35646,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio,Poor,2018-07-21T00:14:31.505Z,2018-07-21T00:14:31.505Z
1126211.3,Bacillus amyloliquefaciens Y2,Bacillus amyloliquefaciens Y2,1126211,Complete,Y2,,,,,,,,2012-05-11T00:00:00Z,,PRJNA78839,SAMN02603232,GCA_000262385.1,,CP003332.1,NC_017912.1,"Faculty of Agronomy and Biotechnology, Yunnan Agricultural University, Kunming 650201 , PR China",complete,,,,1,,1,4238624,45.9,4289,4238,,"wheat rhizosphere, shows a broad suppression spectrum of pathogens and promotion of rooting and growth","isolated from wheat rhizosphere, shows a broad suppression spectrum of pathogens and promotion of rooting and growth in many staple crops, vegetables and horticultural plants",,,,,,,,,"Wheat, Triticum aestivum",,,,,,,,,,,,,,,,,,,"Bacillus amyloliquefaciens Y2 is a plant growth-promoting rhizobacteria.  Bacillus amyloliquefaciens Y2, isolated from wheat rhizosphere, shows a broad suppression spectrum of pathogens and promotion of rooting and growth in many staple crops, vegetables and horticultural plants.",,98.1,97,100,0.2,,Good,2014-12-08T22:10:11.436Z,2015-03-16T03:17:09.594Z
1126949.6,Bacillus phage B5S,,1126949,Complete,,,,,,,,,2012-09-30T00:00:00Z,,,,GCA_002602065.1,,JN797796,,,,454 (GS FLX Titanium),,GS De Novo Assembler Software v.2.3,1,,1,162598,37.709564,309,272,,,,,,,,,,,,Bacillus cereus,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio;Too many hypothetical CDS,Poor,2018-07-21T05:06:17.234Z,2018-07-21T05:06:17.234Z
1126950.9,Bacillus phage BCP78,,1126950,Complete,,,,,,,,,2011-12-25T00:00:00Z,22158847,,,GCA_000898735.1,,JN797797,,,,454 (GS FLX Titanium),,GS De Novo Assembler Software v.2.3,1,,1,156176,39.858875,273,227,,,,,,,,,,,,Bacillus cereus,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio;Too many hypothetical CDS,Poor,2018-07-21T00:03:09.266Z,2018-07-21T00:03:09.266Z
1126951.6,Bacillus phage BCU4,,1126951,Complete,,,,,,,,,2012-09-30T00:00:00Z,,,,GCA_002602025.1,,JN797798,,,,454 (GS FLX Titanium),,GS De Novo Assembler Software v.2.3,1,,1,154371,39.85658,274,223,,,,,,,,,,,,Bacillus cereus,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio;Too many hypothetical CDS,Poor,2018-07-21T05:05:55.956Z,2018-07-21T05:05:55.956Z
1127744.3,Bacillus sp. JS,Bacillus sp. JS,1127744,Complete,,,,,MLST.Bacillus_subtilis.74,,,,2012-04-20T00:00:00Z,22740679,PRJNA79217,SAMN02603480,GCA_000259365.1,,CP003492.1,NC_017743.1,Korea Research Institute of Bioscience and Biotechnology,complete,,,,1,,1,4120406,43.9,4185,4240,,soil,isolated as a plant growth-promoting bacterium from soil in Korea,,South Korea,Korea,,,,,,,,,,,,,,,,,,,,,,,,,Bacillus sp. JS was isolated as a plant growth-promoting bacterium from soil in Korea.,,99.2,98.5,99.9,,,Good,2014-12-08T22:10:19.212Z,2015-03-16T03:17:09.594Z
1129192.8,Bacillus phage BCP8-2,,1129192,Complete,BCP8-2,,,,,,,,2015-10-27T00:00:00Z,26234184,,,GCA_001041555.1,,KJ081346,,,,Sanger dideoxy sequencing; 454,,CLC genomics workbench v. 3.6.5; Glimmer,1,,1,159071,39.452194,276,220,,,,1-Jun-10,South Korea,South Korea,,,,,,Bacillus cereus JCM 2152,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio;Too many hypothetical CDS,Poor,2018-07-21T01:40:14.531Z,2018-07-21T01:40:14.531Z
1136534.8,Bacillus phage BCD7,,1136534,Complete,,,,,,,,,2012-09-30T00:00:00Z,,,,GCA_000900775.1,,JN712910,,,,454 (GS FLX Titanium),,GS De Novo Assembler Software v. 2.3,1,,1,93839,38.042816,174,140,,,,,,,,,,,,Bacillus cereus,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio;Too many hypothetical CDS,Poor,2018-07-21T00:08:25.849Z,2018-07-21T00:08:25.849Z
1136731.8,Bacillus phage BPS13,,1136731,Complete,,,,,,,,,2012-09-30T00:00:00Z,22524239,,,GCA_000900195.1,,JN654439,,,,454 (GS FLX Titanium),,GS De Novo Assembler Software v. 2.3,1,,1,158305,38.751144,311,268,,,,,,,,,,,,Bacillus cereus,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio;Too many hypothetical CDS,Poor,2018-07-21T00:06:25.849Z,2018-07-21T00:06:25.849Z
1136873.6,Bacillus subtilis KCTC 1028,,1136873,Complete,KCTC 1028,,,,MLST.Bacillus_subtilis.1,,KCTC:1028,,2015-05-27T00:00:00Z,25999562,PRJNA81651,SAMN03394574,GCF_000971925.1,"SRR2014563,SRR3883492",CP011115,NZ_CP011115.1,KRIBB,,Illumina HiSeq,790.0x,CLC Genomics Workbench v. 6.5,1,,1,4215633,43.51,4448,4303,,,,,,,,,,,,,,,,,,,,,Positive,Bacilli,,,,,,,,,Bacillus subtilis KCTC 1028 is a superb microorganism for the production of industrial enzymes.,sample_type:cell culture,99.7,99,100,,,Good,2016-01-17T15:53:36.320Z,2016-01-17T15:53:36.320Z
1141133.7,Bacillus phage B4,,1141133,Complete,,,,,,,,,2013-10-21T00:00:00Z,23649177,,,GCA_000897755.1,,JN790865,,,,454 (GS FLX Titanium),,GS De Novo Assembler Software v.2.3,1,,1,162596,37.71003,310,277,,,,,,,,,,,,Bacillus cereus,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio;Too many hypothetical CDS,Poor,2018-07-21T00:01:15.964Z,2018-07-21T00:01:15.964Z
1147161.3,Bacillus subtilis subsp. subtilis 6051-HGW,Bacillus subtilis subsp. subtilis 6051-HGW,1147161,Complete,,,,,MLST.Bacillus_subtilis.1,, ,Yes,2013-03-06T00:00:00Z,22789474,PRJNA82795,SAMN02603273,GCA_000344745.1,,CP003329.1,NC_020507.1,"Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory",complete,Sanger dideoxy sequencing; 454,,Newbler v. 2.6,1,,1,4215610,43.5,4425,4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillus subtilis undomesticated wild type strain from American TypeCulture Collection deposited as Bacillus subtilis (Ehrenberg) Cohn.,,99,98.2,100,,,Good,2014-12-08T22:10:20.065Z,2015-03-16T03:17:09.594Z
1148.72,Bacillus subtilis BEST7613,Bacillus subtilis BEST7613,1204343,Complete,BEST7613,,,,MLST.Bacillus_subtilis.35,, ,,2012-10-03T00:00:00Z,23209249:16236728,PRJNA183920,,GCA_000328745.1,,AP012495.1,-,"Department of Bioscience, Tokyo University of Agriculture",complete,llumina Solexa,80x,Velevt v. 1.1.02,1,,1,7585470,45.73,7862,7270,,,,,,,,,,,,,,,,,,,,,Positive,,,Yes,,,,,,,"The method to connect small DNA segments in the Bacillus subtilis, originally termed as megacloning, enabled to combine a whole genome from Synechocystis PCC6803 with B. subtilis genome. As sequence-known DNA is the least requirement for the method, among dozens of sequence-known bacteria available in 1997 when the project started, the Synechocystis PCC6803 strain was indeed the only choice in terms of non-pathogenic, safe and sound bacterium. The chimera genome strain BEST7613 has raised a number of issues previously poorly argued. Growth in a media suited for Synechocystis, complete synthetic media for photosynthesis with no carbon sources has not been achieved yet and therefore cultivated in B. subtilis growth media all the time. Given gene expressions from the Synehocystis genome expressed properly and coordinately, conversion of cellular gene regulatory networks from that of B. subtilis to the other partner is expected. A number of factors and components, including the cellular membrane structure inside and outside, cell wall, and metabolic state have to be converted from B. subtilis in response to changes in the culture medium remained to be examined. To obtain any clues, sequence information of BEST7613 and its precursor B. subtilis strain, BEST7003 was also sequenced.;chimeric;genome length too large",,96.6,73.4,100,37,,Good,2014-12-08T22:10:19.671Z,2015-03-16T03:17:09.594Z
1150475.3,Bacillus amyloliquefaciens subsp. plantarum UCMB5036,Bacillus amyloliquefaciens subsp. plantarum UCMB5036,1150475,Complete,UCMB5036,,,,MLST.Bacillus_subtilis.63,, ,,2013-02-21T00:00:00Z,,PRJEB1155,SAMEA2272633,GCA_000341875.1,,HF563562.1,NC_020410.1,HGEN,complete,,,,1,,1,3910324,46.6,3914,3660,,cotton plant,,,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,"Plants are essential for both human and animal life, several agricultural practices have been adopted or are being developed in order to improve crop production by preventing or mitigating effects of biotic and abiotic stresses faced by plants. Biocontrol is a promising technique being cost effective, environment friendly and able to target pathogens difficult to control through traditional means. Bacteria that are associated with plant roots and exert beneficial effects on plant development are known as plant growth-promoting rhizobacteria (PGPR). Compared to plant growth-promoting Pseudomonas rhizobacteria, Bacillus species are advantageous due to their ability to form spores, which enable survival at high temperature, extreme pH, drought or mechanical and chemical stress and thus ideal for use as commercial biocontrol products. A PGPR may serve both as a biofertilizer and as a biological antagonist to pathogens. PGPR can be used for seed treatment supporting colonization in the rhizosphere on emerging roots. The mechanisms of protection may vary among different bacteria and include alteration of plant cell walls, production of biofilm on plant roots that prevent infection, competition for nutrients and space for growth and production of antibiotics and other damaging compounds to the pathogens. The Bacillus amyloliquefaciens strain UCMB-5036 has potential to serve as a biocontrol agent. This genome was assembled from short paired-end reads of 75bp size generated by Illumina multiplexed technology using a mapping assembly technique.",,97.2,96.5,100,,,Good,2014-12-08T22:10:11.599Z,2015-03-16T03:17:09.594Z
1150476.3,Bacillus amyloliquefaciens subsp. plantarum UCMB5113,Bacillus amyloliquefaciens subsp. plantarum UCMB5113,1150476,Complete,UCMB5113,,,,MLST.Bacillus_subtilis.65,,,,2013-08-09T00:00:00Z,,PRJEB1418,SAMEA2272338,GCA_000455585.1,,HG328254.1,NC_022081.1,HGEN,complete,,,,1,,1,3889532,46.7,3915,3672,,"the soil of Karpaty mountains, Ukraine","isolated from the soil of Karpaty mountains, Ukraine",,Ukraine,Ukraine: Karpaty mountains,,,,,,,,,,,,,,,,,,,,,,,Soil,,"Bacillus amyloliquefaciens strain UCMB5113 was isolated from the soil of Karpaty mountains, Ukraine. UCMB5113 is a member of a group of free-living soil bacteria known to promote plant growth and suppress plant pathogens. Its genome sequence will allow analysis of genetic mechanisms involved in plant-bacteria associated activities.",,97.4,96.5,100,,,Good,2014-12-08T22:10:11.610Z,2015-03-16T03:17:09.594Z
1155777.3,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2,1155777,Complete,NAU B9601-Y2,,,,,,,,2012-03-15T00:00:00Z,22628498,PRJNA86121,SAMEA2272044,GCA_000284395.1,,HE774679.1,NC_017061.1,"Center for Biotechnology, Bielefeld University",complete,,,,1,,1,4242774,45.9,4278,3989,,isolated from the wheat rhizosphere in North China,isolated from the wheat rhizosphere in North China,,China,North China,,,,,,"Wheat, Triticum aestivum",,,,,,,,,,,,,,,,,,,-,,97.9,96.9,100,0.4,,Good,2014-12-08T22:10:11.637Z,2015-03-16T03:17:09.594Z
1157951.4,Providencia stuartii MRSN 2154,Providencia stuartii MRSN 2154,1157951,Complete,MRSN 2154,,,,,,,,2012-04-18T00:00:00Z,22740665,PRJNA88059,SAMN02604304,GCA_000259175.1,,CP003488.1,NC_017731.1,Walter Reed Army Institute of Research,complete,,,,1,,1,4402109,41.3,4243,4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purple urine bag syndrome;Septicemia,Providencia stuartii is a Gram-negative bacillus capable of causing a variety of human infections. Most P. stuartii infections are of nosocomial origin. ,,99.9,99.8,100,1.3,,Good,2014-12-08T22:12:35.711Z,2015-03-16T03:17:09.594Z
1161901.8,Bacillus phage PBC1,,1161901,Complete,,,,,,,,,2012-05-15T00:00:00Z,22570248,,,GCA_000898195.1,,JQ619704,,,,454,,Roche GS FLX software v. 2.6,1,,1,41164,41.684483,61,50,,,,,,,,,,,,Bacillus cereus,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short,Poor,2018-07-21T00:00:23.947Z,2018-07-21T00:00:23.947Z
1178537.6,Bacillus xiamenensis strain VV3,,1178537,Complete,VV3,,,,,,,,2016-10-31T00:00:00Z,,PRJNA349777,SAMN05933005,GCF_001857925.1,,CP017786,NZ_CP017786.1,King Saud University,,PacBio,155.0x,hierarchical genome assembly process,1,,1,3637729,41.53,3902,3615,,fermented rice,isolated from the fermented rice and showing the hyper activity in regards to the fibrinolysis production,5/27/2015,India,"India: Rajakkamangalam, Kanyakumari",,,,,,,,,,,,,,,,,,,,,,,,,"The Bacillus xiamenensis strain VV3 is a novel bacterium isolated from the fermented rice and showing the hyper activity in regards to the fibrinolysis production. This bacterium was isolated after boiling the rice for 45 minutes and was allowed for aerobic fermentation for 48 hours at room temperature (30 ??? 2??? C) . Strain VV3 is identified as Bacillus by 16s rRNA sequencing analysis and it is characterized as a rod-shaped, aerobic and gram positive bacterium.",collected_by:Ponnuswamy Vijayaraghavan,98.2,97,100,0.8,,Good,2016-11-19T06:56:32.130Z,2016-11-19T06:56:32.130Z
1192196.3,Bacillus subtilis subsp. subtilis str. BSP1,Bacillus subtilis subsp. subtilis str. BSP1,1192196,Complete,BSP1,,,,MLST.Bacillus_subtilis.10,, ,,2012-12-17T00:00:00Z,,PRJNA166925,SAMN02603212,GCA_000321395.1,,CP003695.1,NC_019896.1,DSM Nutritional Products Ltd,complete,454,,MIRA v. 3.0,1,,1,4043754,43.87,4228,3847,,,,,,,,,,,,,,,,,,,,,Positive,Bacilli,Yes,Yes,,,,Aerobic,Terrestrial,,"Elucidate at the genome level differences between present strain and archetype Bacillus subtilis strain 168, mainly in term of:- domestication: present strain has never been cultured in lab- niche adaptation (gut-association): present strain has been isolated from broilers fecal material",,99.1,98.1,100,,,Good,2014-12-08T22:10:20.130Z,2015-03-16T03:17:09.594Z
1193713.13,Bacillus mesonae strain H20-5,,1193713,Complete,H20-5,,,,,,,,2019-01-08T00:00:00Z,,PRJNA395788,SAMN07414821,GCA_003999735.1,,CP022572,,National Institute of Agricultural Sciences,,PacBio,180.34x,other v. JAN-2017,1,,1,5839313,40.421192,5992,5475,,soil cultivated with Lactuca sativa,"isolated and sequenced for enhancing agricultural productivity in cash crops, mitigating abiotic stresses such as drought and cold condition",2004,South Korea,South Korea,,,,surface,,,,,,,,,,,,,,,,,,,,,"This strain was isolated and sequenced for enhancing agricultural productivity in cash crops, mitigating abiotic stresses such as drought and cold condition. Our sequencing data will provide useful genomic information and insight in Bacillus mesonae strains, which could lead a better understanding of beneficial microbes.",,96.1,91.6,,,,Good,2019-02-01T02:32:18.052Z,2019-02-01T02:32:18.052Z
1194641.8,Bacillus phage BtCS33,,1194641,Complete,,,,,,,,,2012-06-10T00:00:00Z,22649540,,,GCA_000898915.1,,JN191664,,,,,,,1,,1,41992,35.223377,75,57,,,,,,,,,,,,Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio,Poor,2018-07-21T00:01:53.267Z,2018-07-21T00:01:53.267Z
1195072.8,Bacillus phage vB_BceM_Bc431v3,,1195072,Complete,,,,,,,,,2013-03-14T00:00:00Z,23388049,,,GCA_000906215.1,,JX094431,,,,,,,1,,1,158621,39.977936,272,238,,,,,,,,,,,,Bacillus cereus,,,,,,,,,,,,,,,,,,,,,,,,,Genome too short;Abnormal CDS ratio;Abnormal CDS ratio;Too many hypothetical CDS,Poor,2018-07-21T00:29:33.822Z,2018-07-21T00:29:33.822Z
1195464.3,Bacillus thuringiensis MC28,Bacillus thuringiensis MC28,1195464,Complete,MC28,,,,,, ,,2012-10-01T00:00:00Z,,PRJNA167562,SAMN02603757,GCA_000300475.1,,"CP003687.1,CP003691.1,CP003694.1,CP003688.1,CP003693.1,CP003690.1,CP003689.1,CP003692.1","NC_018693.1,NC_018686.1,NC_018689.1,NC_018684.1,NC_018688.1,NC_018685.1,NC_018694.1,NC_018687.1",Rice Research Institution of SICAU,complete,,,,1,6,8,6694533,34.9245,6735,6621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillus thuringiensis MC28 Genome Sequencing,,99.2,97.9,99.6,0.6,,Good,2014-12-08T22:10:20.525Z,2015-03-16T03:17:09.594Z
119858.6,Bacillus sonorensis strain SRCM101395,,119858,Complete,SRCM101395,,,,,,,,2017-06-20T00:00:00Z,,PRJNA389958,SAMN07211384,,,CP021920,,Microbial Institute for Fermentation Industry,,PacBio,181.0x,SMRT Analysis v. 2.3.0,1,,1,4832293,45.21,5441,4968,,food,,1/9/2017,South Korea,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,Genome sequence of Bacillus sonorensis strain SRCM101395,sample_type:cell culture,99.6,96.3,99.5,3.7,,Good,2017-07-22T22:30:19.770Z,2017-07-22T22:30:19.770Z
