name,Accesion ID,Organism,species,PATRIC,Location,Product Prediction,BiG-SCAPE class,Family Number,Clan Number,Groups,AA_domain_list
NZ_CP014858.1.region006,NZ_CP014858.1,Bacillus subtilis subsp. subtilis D12-5,subtilis,135461.18,"South Korea: Yangpyung region, Gyeonggi-do Province",NRPS,NRPS,2550,2044,PPS,"glu,orn,tyr,thr,glu,val,pro,glu,ile,X"
NZ_CP045812.1.region005,NZ_CP045812.1,Bacillus subtilis P8_B3,subtilis,1423.883,Denmark:Dyrehave,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP014166.1.region005,NZ_CP014166.1,Bacillus subtilis subsp. subtilis CU1050,subtilis,135461.17,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP020102.1.region005,NZ_CP020102.1,Bacillus subtilis NCIB 3610,subtilis,1423.413,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
CP045812.1.region005,CP045812.1,Bacillus subtilis P8_B3,subtilis,1423.883,Denmark:Dyrehave,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_LN649259.1.region005,NZ_LN649259.1,Bacillus subtilis BS49,subtilis,1423.176,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP015004.1.region005,NZ_CP015004.1,Bacillus subtilis SZMC 6179J,subtilis,1423.271,Hungary: Bekes County,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CM000490.1.region005,NZ_CM000490.1,Bacillus subtilis subsp. subtilis str. SMY,subtilis,535024.3,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP017112.1.region005,NZ_CP017112.1,Bacillus subtilis BS16045,subtilis,1423.318,South Korea,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
CP045811.1.region005,CP045811.1,Bacillus subtilis P9_B1,subtilis,1423.885,Denmark:Dyrehave,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP020915.1.region002,NZ_CP020915.1,Bacillus subtilis 50-1,subtilis,1423.557,China:Jilin,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035411.1.region005,NZ_CP035411.1,Bacillus subtilis SRCM103622,subtilis,1423.758,South Korea,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP005997.1.region005,NZ_CP005997.1,Bacillus subtilis TO-A,subtilis,1340494.3,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035394.1.region005,NZ_CP035394.1,Bacillus subtilis SRCM103696,subtilis,1423.749,South Korea,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP011115.1.region005,NZ_CP011115.1,Bacillus subtilis KCTC 1028 = ATCC 6051a,subtilis,1136873.6,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
CP045922.1.region005,CP045922.1,Bacillus subtilis P8_B1,subtilis,1423.884,Denmark:Dyrehave,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP016852.1.region005,NZ_CP016852.1,Bacillus subtilis subsp. subtilis 168G,subtilis,135461.27,Germany,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP010053.1.region005,NZ_CP010053.1,Bacillus subtilis PS832,subtilis,1423.140,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP010314.1.region005,NZ_CP010314.1,Bacillus subtilis subsp. subtilis 3NA,subtilis,135461.9,France,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NC_000964.3.region005,NC_000964.3,Bacillus subtilis subsp. subtilis str. 168,subtilis,224308.43,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP022391.1.region005,NZ_CP022391.1,Bacillus subtilis GS 188,subtilis,1423.453,India: Khaagipur,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP033205.1.region005,NZ_CP033205.1,Bacillus subtilis MBI 600,subtilis,1423.768,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NC_014976.1.region001,NC_014976.1,Bacillus subtilis BSn5,subtilis,936156.3,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,glu"
NC_017743.1.region005,NC_017743.1,Bacillus sp. JS,sp.,1127744.3,Korea,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NC_020507.1.region005,NC_020507.1,Bacillus subtilis subsp. subtilis 6051-HGW,subtilis,1147161.3,,NRPS,NRPS,2550,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035226.1.region005,NZ_CP035226.1,Bacillus subtilis SRCM103517,subtilis,1423.742,South Korea,NRPS,NRPS,5071,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP029465.1.region007,NZ_CP029465.1,Bacillus subtilis subsp. inaquosorum KCTC 13429,subtilis,483913.115,,NRPS-like.NRPS,NRPS,5071,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035391.1.region005,NZ_CP035391.1,Bacillus subtilis SRCM103689,subtilis,1423.747,South Korea,NRPS,NRPS,5071,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP035400.1.region005,NZ_CP035400.1,Bacillus subtilis SRCM103835,subtilis,1423.755,South Korea,NRPS,NRPS,5071,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,glu"
NZ_CP025941.1.region008,NZ_CP025941.1,Bacillus subtilis BJ3-2,subtilis,1423.537,China,NRPS,NRPS,5071,2044,PPS,"X,ile,tyr,glu,pro,val,glu,tyr,orn,glu"
NZ_CP029609.1.region006,NZ_CP029609.1,Bacillus subtilis subsp. subtilis G7,subtilis,135461.97,China: East China Sea,NRPS,NRPS,5071,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP039935.1.region005,NZ_CP039935.1,Bacillus subtilis H19,subtilis,1423.770,"China: Shanghai, The East China Sea",NRPS,NRPS,5071,2044,PPS,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NC_014639.1.region004,NC_014639.1,Bacillus atrophaeus 1942,atrophaeus,720555.4,,NRPS,NRPS,2971,2044,PPS_groupB,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
CP024051.1.region007,CP024051.1,Bacillus atrophaeus BA59,atrophaeus,1452.36,China,NRPS,NRPS,2971,2044,PPS_groupB,"glu,orn,tyr,thr,glu,val,pro,ile,X"
NZ_CP007640.1.region004,NZ_CP007640.1,Bacillus atrophaeus subsp. globigii BSS,atrophaeus,1529886.3,,NRPS,NRPS,2971,2044,PPS_groupB,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP011802.1.region003,NZ_CP011802.1,Bacillus atrophaeus UCMB-5137,atrophaeus,1239783.5,Ukraine,NRPS,NRPS,2971,2044,PPS_groupB,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP014840.1.region007,NZ_CP014840.1,Bacillus subtilis subsp. globigii ATCC 49760,subtilis,1496303.3,,NRPS,NRPS,2971,2044,PPS_groupB,"glu,orn,tyr,thr,glu,val,pro,glu,tyr,ile,X"
NZ_CP022653.1.region006,NZ_CP022653.1,Bacillus atrophaeus GQJK17,atrophaeus,1452.35,China:Ningxia,NRPS,NRPS,2971,2044,PPS_groupB,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NZ_CP021500.1.region006,NZ_CP021500.1,Bacillus atrophaeus SRCM101359,atrophaeus,1452.31,South Korea,NRPS,NRPS,2971,2044,PPS_groupB,"X,ile,tyr,glu,pro,val,glu,thr,tyr,orn,glu"
NC_022898.1.region005,NC_022898.1,Bacillus subtilis PY79,subtilis,1415167.3,,NRPS,NRPS,5104,5104,PPS_groupC,"X,ile,tyr,glu,thr,tyr,orn,glu"
NZ_CP007800.1.region005,NZ_CP007800.1,Bacillus subtilis subsp. subtilis str. JH642 substr. AG174,subtilis,1232554.3,,NRPS,NRPS,5104,5104,PPS_groupC,"X,ile,tyr,glu,thr,tyr,orn,glu"
NZ_CP008698.1.region005,NZ_CP008698.1,Bacillus subtilis subsp. subtilis str. AG1839,subtilis,1221328.3,,NRPS,NRPS,5104,5104,PPS_groupC,"X,ile,tyr,glu,thr,tyr,orn,glu"
CP045816.1.region003,CP045816.1,Bacillus subtilis P5_B2,subtilis,1423.880,Denmark:Dyrehave,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
CP045826.1.region005,CP045826.1,Bacillus subtilis 73,subtilis,1423.879,Germany:Heida,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP035162.1.region004,NZ_CP035162.1,Bacillus subtilis SRCM103886,subtilis,1423.734,South Korea,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP032857.1.region004,NZ_CP032857.1,Bacillus subtilis subsp. subtilis 2RL2-3,subtilis,135461.74,South Korea: Gyeonggi,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP022891.1.region001,NZ_CP022891.1,Bacillus subtilis DKU_NT_03,subtilis,1423.445,"South Korea: Choongnam, Cheonan",NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP021498.1.region003,NZ_CP021498.1,Bacillus subtilis subsp. subtilis SRCM101444,subtilis,135461.47,South Korea,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP035390.1.region003,NZ_CP035390.1,Bacillus subtilis SRCM103641,subtilis,1423.748,South Korea,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP015222.1.region004,NZ_CP015222.1,Bacillus subtilis HRBS-10TDI13,subtilis,1423.323,South Korea: Sunchang,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP032872.1.region006,NZ_CP032872.1,Bacillus subtilis subsp. subtilis 2KL1,subtilis,135461.80,South Korea: Jeonju,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP021507.1.region004,NZ_CP021507.1,Bacillus subtilis subsp. subtilis SRCM101441,subtilis,1402.140,South Korea,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP032852.1.region006,NZ_CP032852.1,Bacillus subtilis subsp. subtilis GFR-12,subtilis,135461.71,South Korea: Gyeonggi,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP021889.1.region003,NZ_CP021889.1,Bacillus subtilis subsp. subtilis SRCM100761,subtilis,135461.49,South Korea,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP021499.1.region003,NZ_CP021499.1,Bacillus subtilis subsp. subtilis SRCM100757,subtilis,135461.48,South Korea,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP017314.1.region003,NZ_CP017314.1,Bacillus subtilis BS38,subtilis,1423.322,South Korea,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP035414.1.region003,NZ_CP035414.1,Bacillus subtilis SRCM103637,subtilis,1423.759,South Korea,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP035395.1.region004,NZ_CP035395.1,Bacillus subtilis SRCM103697,subtilis,1423.751,South Korea,NRPS,NRPS,5104,5104,PPS_groupD,"X,ile,tyr,glu"
NZ_CP026010.1.region007,NZ_CP026010.1,Bacillus subtilis ATCC 11774,subtilis,1423.741,France,NRPS,NRPS,5112,5112,PPS_groupE,X
NZ_CP032853.1.region002,NZ_CP032853.1,Bacillus subtilis subsp. subtilis MH-1,subtilis,135461.73,South Korea: Chungcheongbuk-do,NRPS,NRPS,5112,5112,PPS_groupE,"glu,tyr,X"
NZ_CP021892.1.region004,NZ_CP021892.1,Bacillus subtilis subsp. subtilis SRCM100333,subtilis,135461.50,South Korea,NRPS,NRPS,5112,5112,PPS_groupE,"X,tyr,glu"
NZ_CP017763.1.region003,NZ_CP017763.1,Bacillus subtilis 29R7-12,subtilis,1423.339,Japan: Shimokita Peninsula,NRPS,NRPS,5112,5112,PPS_groupE,"glu,tyr,X"
NZ_CP022890.1.region006,NZ_CP022890.1,Bacillus subtilis DKU_NT_02,subtilis,1423.444,"South Korea: Choongnam, Cheonan",NRPS,NRPS,5112,5112,PPS_groupE,"glu,tyr,X"
NZ_CP018184.1.region002,NZ_CP018184.1,Bacillus subtilis KH2,subtilis,1423.337,China: Tianjin,NRPS,NRPS,5112,5112,PPS_groupE,"X,tyr,glu"
NZ_CP032863.1.region001,NZ_CP032863.1,Bacillus subtilis subsp. subtilis N2-2,subtilis,135461.77,Japan,NRPS,NRPS,5112,5112,PPS_groupE,"X,tyr,glu"
NZ_CP032865.1.region009,NZ_CP032865.1,Bacillus subtilis subsp. subtilis N3-1,subtilis,135461.79,Japan,NRPS,NRPS,5112,5112,PPS_groupE,"glu,tyr,X"
NZ_CP020023.1.region001,NZ_CP020023.1,Bacillus subtilis ATCC 21228,subtilis,1423.540,United States,NRPS,NRPS,5112,5112,PPS_groupE,"X,tyr,glu"
NC_017196.2.region003,NC_017196.2,Bacillus subtilis subsp. natto BEST195,subtilis,645657.3,,NRPS,NRPS,5112,5112,PPS_groupE,"X,tyr,glu"
NZ_CP032861.1.region003,NZ_CP032861.1,Bacillus subtilis subsp. subtilis N1-1,subtilis,135461.78,Japan,NRPS,NRPS,5112,5112,PPS_groupE,"glu,tyr,X"
NZ_CP020722.1.region001,NZ_CP020722.1,Bacillus subtilis Bs-115,subtilis,1423.416,,NRPS,NRPS,5112,5112,PPS_groupE,"tyr,glu"
NZ_CP035397.1.region003,NZ_CP035397.1,Bacillus subtilis SRCM103773,subtilis,1423.753,South Korea,NRPS,NRPS,5112,5112,PPS_groupE,"X,tyr,glu"
NZ_CP014471.1.region003,NZ_CP014471.1,Bacillus subtilis subsp. natto CGMCC 2108,subtilis,86029.6,,NRPS,NRPS,5112,5112,PPS_groupE,"X,tyr,glu"
NZ_CP032867.1.region007,NZ_CP032867.1,Bacillus subtilis subsp. subtilis N4-2,subtilis,135461.76,Japan,NRPS,NRPS,5112,5112,PPS_groupE,"X,tyr,glu"
NZ_CP020722.1.region010,NZ_CP020722.1,Bacillus subtilis Bs-115,subtilis,1423.416,,NRPS,NRPS,5112,5112,PPS_groupE,"X,tyr,glu"
CP030925.1.region005,CP030925.1,Bacillus subtilis subsp. spizizenii SW83,subtilis,96241.11,India,NRPS,NRPS,2044,2044,PPS_others,"X,ile,glu"
CP023755.1.region004,CP023755.1,Bacillus subtilis subsp. subtilis NCD-2,subtilis,135461.55,China:Hebei,NRPS,NRPS,2044,2044,PPS_others,"X,ile,tyr,glu,pro,val,glu"
NZ_CP007409.1.region005,NZ_CP007409.1,Bacillus subtilis subsp. subtilis str. OH 131.1,subtilis,1404258.3,USA: Ohio,NRPS,NRPS,2044,2044,PPS_others,"X,ile,tyr,glu,pro,thr,tyr,orn,glu"
NZ_CP035402.1.region003,NZ_CP035402.1,Bacillus subtilis SRCM103576,subtilis,1423.750,South Korea,NRPS,NRPS,2550,2044,PPS_others,"X,ile,tyr,glu"
NZ_CP021985.1.region001,NZ_CP021985.1,Bacillus subtilis SR1,subtilis,1423.435,"India: Assam, Sivasagar",NRPS,NRPS,2550,2044,PPS_others,"X,ile,glu,glu"
CP032089.1.region003,CP032089.1,Bacillus subtilis FB6-3,subtilis,1423.589,India: Manipur,NRPS,NRPS,2550,2044,PPS_others,"X,ile,glu"
NZ_CM000489.1.region005,NZ_CM000489.1,Bacillus subtilis subsp. subtilis str. JH642,subtilis,535025.4,,NRPS,NRPS,2550,2044,PPS_others,"X,ile,tyr,glu,thr,tyr,orn,glu"
NZ_CP034484.1.region005,NZ_CP034484.1,Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051,subtilis,535026.25,,NRPS,NRPS,2550,2044,PPS_others,"X,ile,tyr,glu,pro,thr,tyr,orn,glu"
NZ_CP015375.1.region010,NZ_CP015375.1,Bacillus subtilis subsp. subtilis KCTC 3135,subtilis,135461.32,,NRPS,NRPS,2550,2044,PPS_others,"glu,orn,tyr,thr,pro,glu,tyr,ile,X"
NZ_CP032315.1.region005,NZ_CP032315.1,Bacillus subtilis MZK05,subtilis,1423.620,Bangladesh,NRPS,NRPS,5071,2044,PPS_others,"X,ile,tyr,glu,pro,val,glu"
NZ_CP035406.1.region003,NZ_CP035406.1,Bacillus subtilis SRCM103612,subtilis,1423.756,South Korea,NRPS,NRPS,5071,2044,PPS_others,"X,tyr,glu,pro,val,glu"
NZ_CP035403.1.region004,NZ_CP035403.1,Bacillus subtilis SRCM103581,subtilis,1423.752,South Korea,NRPS,NRPS,5104,5104,PPS_others,X
NZ_CP031675.1.region005,NZ_CP031675.1,Bacillus subtilis subsp. subtilis IITK SM1,subtilis,135461.70,India: Kanpur,NRPS,NRPS,5104,5104,PPS_others,"X,ile,tyr,glu,pro,glu"
CP029052.1.region004,CP029052.1,Bacillus subtilis subsp. subtilis BS155,subtilis,135461.64,China,NRPS,NRPS,5104,5104,PPS_others,"X,ile,glu,tyr"
